ENSEMBL.ID,term,estimate,std.error,statistic,p.value,p.adj,symbol
ENSMUSG00000027365,chol2:sexM,-0.008394294238485847,0.019277121351654405,-0.4354537218164802,0.6642313831964795,0.6642313831964795,Trpm7
ENSMUSG00000020315,chol2:sexM,-0.018777127903124136,0.04317281005531662,-0.43492948175171614,0.6646105180085491,0.6646105180085491,Sptbn1
ENSMUSG00000020620,chol2:sexM,0.01997568904199915,0.04602881891148703,0.4339822205825486,0.6652958063076697,0.6652958063076697,Abca8b
ENSMUSG00000027184,chol2:sexM,-0.03179059096573506,0.073269006081387,-0.4338886613313979,0.6653635064077206,0.6653635064077206,Caprin1
ENSMUSG00000086320,chol2:sexM,-0.026763577341047326,0.061802689047850676,-0.4330487516542468,0.6659713947538569,0.6659713947538569,NA
ENSMUSG00000041720,chol2:sexM,-0.006795402298690057,0.015709358976143343,-0.43257031104895743,0.666317767998249,0.666317767998249,Pi4ka
ENSMUSG00000022680,chol2:sexM,0.00894901947308006,0.02075568515517577,0.43115991624340455,0.6673392620370191,0.6673392620370191,Pdxdc1
ENSMUSG00000025453,chol2:sexM,0.026786191608247814,0.06221359835976789,0.4305520386933579,0.6677797174461305,0.6677797174461305,Nnt
ENSMUSG00000027761,chol2:sexM,0.06566490365832515,0.15271930150428625,0.42997121523949733,0.6682006786640842,0.6682006786640842,Aadac
ENSMUSG00000027495,chol2:sexM,-0.016482281971386775,0.0383573926959416,-0.42970287636705506,0.6683951974369584,0.6683951974369584,Fam210b
ENSMUSG00000060961,chol2:sexM,0.02989470210664846,0.06961157071590382,0.4294501876513262,0.6685783920997093,0.6685783920997093,Slc4a4
ENSMUSG00000068762,chol2:sexM,0.032790257493390006,0.07646853829703139,0.4288071698980412,0.6690446585413964,0.6690446585413964,Gstm6
ENSMUSG00000050732,chol2:sexM,-0.007081161609386424,0.016516300639293286,-0.428737752117439,0.6690950026738394,0.6690950026738394,Vamp8
ENSMUSG00000028199,chol2:sexM,-0.018623872125460524,0.043516937425519556,-0.42796835501891184,0.6696530967465028,0.6696530967465028,Cryz
ENSMUSG00000026691,chol2:sexM,-0.11624919642424819,0.27224710540812574,-0.42699883346777545,0.670356618145634,0.670356618145634,Fmo3
ENSMUSG00000022323,chol2:sexM,0.12592960070207418,0.2950892963693785,0.42675082509411527,0.6705366295920334,0.6705366295920334,Rida
ENSMUSG00000029273,chol2:sexM,-0.038197689305103345,0.08951248699829382,-0.4267302874271767,0.6705515372695514,0.6705515372695514,Sult1d1
ENSMUSG00000078584,chol2:sexM,-0.011282322515313673,0.02646819173128601,-0.4262596640471555,0.6708931847907726,0.6708931847907726,AU022252
ENSMUSG00000050627,chol2:sexM,0.01237799867279195,0.02912898452147376,0.42493752789998374,0.671853355006511,0.671853355006511,Gpd1l
ENSMUSG00000034850,chol2:sexM,-0.004795243920301481,0.011285735155481676,-0.4248942451898978,0.6718847972630557,0.6718847972630557,Tmem127
ENSMUSG00000041828,chol2:sexM,0.04302516346796114,0.1013050604291726,0.4247089265401719,0.6720194265859194,0.6720194265859194,Abca8a
ENSMUSG00000057103,chol2:sexM,0.03590687656471999,0.08490256923831238,0.42291860996494995,0.6733205962636633,0.6733205962636633,Nat8f1
ENSMUSG00000005320,chol2:sexM,-0.00772808951542899,0.01827565116244454,-0.42286260810831133,0.6733613134524328,0.6733613134524328,Fgfr4
ENSMUSG00000020859,chol2:sexM,-0.015152386423965167,0.035874940873663254,-0.4223668682082466,0.6737217927454078,0.6737217927454078,Spag9
ENSMUSG00000041130,chol2:sexM,-0.008228644095864247,0.019511038306330112,-0.4217430137069931,0.6741755392902289,0.6741755392902289,Zfp598
ENSMUSG00000054469,chol2:sexM,-0.008742383632421743,0.020757778441331743,-0.42116181445575074,0.6745983698716644,0.6745983698716644,Lclat1
